sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Bartholemy Kment,Department B,$95.57,11,857 Homewood Trail,Corpus Christi,Texas,ac3a08921174742f4ef7b8396c9001fc,10/24/2016
Shane Simkins,Department B,$91.67,7,1 Village Green Lane,Hayward,California,4c50aadc26b17293383336542bbd7a57,8/21/2017
Zebedee Kedge,Department A,$12.61,78,3162 Stang Parkway,Shreveport,Louisiana,4a4d1f537b2c2a09cacce123357b2352,5/24/2017
Zaneta Delmage,Department B,$7.44,17,33068 Pond Point,Bonita Springs,Florida,a823cbfe8e035e24e147d18f15f59b03,7/23/2016
Zebedee Kedge,Department A,$16.27,84,56271 Larry Terrace,Fort Collins,Colorado,4bee8b595099f5cf5fc87ed154078167,4/10/2016
Dallas Le,Department B,$27.55,10,30 Norway Maple Circle,Madison,Wisconsin,d7e26eab38e3b8d9dc141eab7f2d6d53,10/21/2016
Nell Lindup,Department C,$3.97,11,2091 Northwestern Avenue,Charlottesville,Virginia,44952c4b179a3bfc77dcfb5b7757aa33,7/4/2017
Modesty Berringer,Department D,$98.62,100,327 Gerald Hill,Salt Lake City,Utah,b5afcae62290122986395e242c45dd7d,4/8/2016
Dallas Le,Department B,$86.12,17,275 Stephen Court,Peoria,Arizona,37dc7c2adea5ec8e3f49e55ebc08a138,6/11/2017
Krystle Boothe,Department D,$87.82,81,15991 Columbus Crossing,Washington,District of Columbia,44fab79b04a1045e75a09b655c0614d6,6/10/2017
Gothart Whimpenny,Department C,$42.39,1,0 Brickson Park Point,Van Nuys,California,c6f2fe54f6b067fc0c99a5ff29acd7bb,7/2/2016
Jacquette Oakley,Department C,$78.87,60,66330 Algoma Avenue,Johnson City,Tennessee,c49bfd1ec63ee5506239360a728e3a80,10/22/2016
Rutherford Kermath,Department D,$4.77,69,7 Talisman Plaza,Honolulu,Hawaii,f2efda6e9b6c0dcf8b17f3c9657a4282,12/13/2016
Dallas Le,Department B,$27.45,22,05383 Spaight Hill,Clearwater,Florida,d05d85f182f105c55073a2cdd75740c5,12/9/2016
Brear Fairs,Department D,$34.48,20,6 School Way,Baton Rouge,Louisiana,822aedf2742e0fd482d230e33385821b,7/4/2016
Celestyna Erskine,Department C,$52.61,78,02 Tony Trail,Spokane,Washington,eef6e158d398efd78d81057fdd4fe243,3/17/2016
Ashleigh Baudinot,Department D,$80.47,72,4984 Hoffman Court,Ashburn,Virginia,078a0d5c2ed1c6c84b5b821455c707c7,6/10/2017
Zaneta Delmage,Department B,$54.73,83,741 Farwell Trail,Boynton Beach,Florida,4b1d719001c5a2c6e31040f0bee9d9c2,5/30/2016
Chad Yeatman,Department A,$41.39,22,1667 Towne Way,Anchorage,Alaska,7899e48e1f24169e7a04167bd2f8137b,5/14/2017
Ignacio Arpur,Department A,$32.30,72,84692 Randy Court,Montgomery,Alabama,f230a54d8f46ba10b15b869ea5da5735,12/19/2016
Celestyna Erskine,Department C,$59.38,52,5 Caliangt Park,Los Angeles,California,a302ec783a7e72f38a71d2dbf40024b6,8/31/2016
